date,state,fips,cases,deaths
2020-01-21,WA,53,1,0
2020-01-22,WA,53,1,0
2020-01-23,WA,53,1,0
2020-01-24,IL,17,1,0
2020-01-24,WA,53,1,0
2020-01-25,CA,6,1,0
2020-01-25,IL,17,1,0
2020-01-25,WA,53,1,0
2020-01-26,CA,6,2,0
2020-01-26,IL,17,1,0
2020-01-26,WA,53,1,0
2020-01-27,CA,6,2,0
2020-01-27,IL,17,1,0
2020-01-27,WA,53,1,0
2020-01-28,CA,6,2,0
2020-01-28,IL,17,1,0
2020-01-28,WA,53,1,0
2020-01-29,CA,6,2,0
2020-01-29,IL,17,1,0
2020-01-29,WA,53,1,0
2020-01-30,CA,6,2,0
2020-01-30,IL,17,2,0
2020-01-30,WA,53,1,0
2020-01-31,CA,6,3,0
2020-01-31,IL,17,2,0
2020-01-31,WA,53,1,0
2020-02-01,CA,6,3,0
2020-02-01,IL,17,2,0
2020-02-01,MA,25,1,0
2020-02-01,WA,53,1,0
2020-02-02,CA,6,6,0
2020-02-02,IL,17,2,0
2020-02-02,MA,25,1,0
2020-02-02,WA,53,1,0
2020-02-03,CA,6,6,0
2020-02-03,IL,17,2,0
2020-02-03,MA,25,1,0
2020-02-03,WA,53,1,0
2020-02-04,CA,6,6,0
2020-02-04,IL,17,2,0
2020-02-04,MA,25,1,0
2020-02-04,WA,53,1,0
2020-02-05,CA,6,6,0
2020-02-05,IL,17,2,0
2020-02-05,MA,25,1,0
2020-02-05,WA,53,1,0
2020-02-05,WI,55,1,0
2020-02-06,CA,6,6,0
2020-02-06,IL,17,2,0
2020-02-06,MA,25,1,0
2020-02-06,WA,53,1,0
2020-02-06,WI,55,1,0
2020-02-07,CA,6,6,0
2020-02-07,IL,17,2,0
2020-02-07,MA,25,1,0
2020-02-07,WA,53,1,0
2020-02-07,WI,55,1,0
2020-02-08,CA,6,6,0
2020-02-08,IL,17,2,0
2020-02-08,MA,25,1,0
2020-02-08,WA,53,1,0
2020-02-08,WI,55,1,0
2020-02-09,CA,6,6,0
2020-02-09,IL,17,2,0
2020-02-09,MA,25,1,0
2020-02-09,WA,53,1,0
2020-02-09,WI,55,1,0
2020-02-10,CA,6,7,0
2020-02-10,IL,17,2,0
2020-02-10,MA,25,1,0
2020-02-10,WA,53,1,0
2020-02-10,WI,55,1,0
2020-02-11,CA,6,7,0
2020-02-11,IL,17,2,0
2020-02-11,MA,25,1,0
2020-02-11,WA,53,1,0
2020-02-11,WI,55,1,0
2020-02-12,CA,6,7,0
2020-02-12,IL,17,2,0
2020-02-12,MA,25,1,0
2020-02-12,WA,53,1,0
2020-02-12,WI,55,1,0
2020-02-13,CA,6,7,0
2020-02-13,IL,17,2,0
2020-02-13,MA,25,1,0
2020-02-13,WA,53,1,0
2020-02-13,WI,55,1,0
2020-02-14,CA,6,7,0
2020-02-14,IL,17,2,0
2020-02-14,MA,25,1,0
2020-02-14,WA,53,1,0
2020-02-14,WI,55,1,0
2020-02-15,CA,6,7,0
2020-02-15,IL,17,2,0
2020-02-15,MA,25,1,0
2020-02-15,WA,53,1,0
2020-02-15,WI,55,1,0
2020-02-16,CA,6,7,0
2020-02-16,IL,17,2,0
2020-02-16,MA,25,1,0
2020-02-16,WA,53,1,0
2020-02-16,WI,55,1,0
2020-02-17,CA,6,7,0
2020-02-17,IL,17,2,0
2020-02-17,MA,25,1,0
2020-02-17,WA,53,1,0
2020-02-17,WI,55,1,0
2020-02-18,CA,6,7,0
2020-02-18,IL,17,2,0
2020-02-18,MA,25,1,0
2020-02-18,WA,53,1,0
2020-02-18,WI,55,1,0
2020-02-19,CA,6,7,0
2020-02-19,IL,17,2,0
2020-02-19,MA,25,1,0
2020-02-19,WA,53,1,0
2020-02-19,WI,55,1,0
2020-02-20,CA,6,8,0
2020-02-20,IL,17,2,0
2020-02-20,MA,25,1,0
2020-02-20,WA,53,1,0
2020-02-20,WI,55,1,0
2020-02-21,CA,6,9,0
2020-02-21,IL,17,2,0
2020-02-21,MA,25,1,0
2020-02-21,WA,53,1,0
2020-02-21,WI,55,1,0
2020-02-22,CA,6,9,0
2020-02-22,IL,17,2,0
2020-02-22,MA,25,1,0
2020-02-22,WA,53,1,0
2020-02-22,WI,55,1,0
2020-02-23,CA,6,9,0
2020-02-23,IL,17,2,0
2020-02-23,MA,25,1,0
2020-02-23,WA,53,1,0
2020-02-23,WI,55,1,0
2020-02-24,CA,6,11,0
2020-02-24,IL,17,2,0
2020-02-24,MA,25,1,0
2020-02-24,WA,53,5,0
2020-02-24,WI,55,1,0
2020-02-25,CA,6,11,0
2020-02-25,IL,17,2,0
2020-02-25,MA,25,1,0
2020-02-25,WA,53,5,0
2020-02-25,WI,55,1,0
2020-02-26,CA,6,26,0
2020-02-26,IL,17,2,0
2020-02-26,MA,25,1,0
2020-02-26,WA,53,5,0
2020-02-26,WI,55,1,0
2020-02-27,CA,6,26,0
2020-02-27,IL,17,2,0
2020-02-27,MA,25,1,0
2020-02-27,WA,53,5,0
2020-02-27,WI,55,1,0
2020-02-28,CA,6,27,0
2020-02-28,IL,17,2,0
2020-02-28,MA,25,1,0
2020-02-28,WA,53,7,0
2020-02-28,WI,55,1,0
2020-02-29,CA,6,28,0
2020-02-29,IL,17,3,0
2020-02-29,MA,25,1,0
2020-02-29,WA,53,10,1
2020-02-29,WI,55,1,0
2020-03-01,CA,6,33,0
2020-03-01,IL,17,3,0
2020-03-01,MA,25,1,0
2020-03-01,NY,36,1,0
2020-03-01,WA,53,17,3
2020-03-01,WI,55,1,0
2020-03-02,CA,6,38,0
2020-03-02,IL,17,4,0
2020-03-02,MA,25,2,0
2020-03-02,NY,36,1,0
2020-03-02,WA,53,23,6
2020-03-02,WI,55,1,0
2020-03-03,CA,6,45,0
2020-03-03,IL,17,4,0
2020-03-03,MA,25,2,0
2020-03-03,NY,36,2,0
2020-03-03,WA,53,32,10
2020-03-03,WI,55,1,0
2020-03-04,CA,6,55,1
2020-03-04,IL,17,4,0
2020-03-04,MA,25,2,0
2020-03-04,NY,36,11,0
2020-03-04,WA,53,47,11
2020-03-04,WI,55,1,0
2020-03-05,CA,6,67,1
2020-03-05,IL,17,5,0
2020-03-05,MA,25,3,0
2020-03-05,NY,36,22,0
2020-03-05,WA,53,75,11
2020-03-05,WI,55,1,0
2020-03-06,CA,6,81,1
2020-03-06,IL,17,6,0
2020-03-06,MA,25,8,0
2020-03-06,NY,36,44,0
2020-03-06,WA,53,86,12
2020-03-06,WI,55,1,0
2020-03-07,CA,6,100,1
2020-03-07,IL,17,6,0
2020-03-07,MA,25,13,0
2020-03-07,NY,36,89,0
2020-03-07,WA,53,110,16
2020-03-07,WI,55,1,0
2020-03-08,CA,6,112,1
2020-03-08,IL,17,7,0
2020-03-08,MA,25,28,0
2020-03-08,NY,36,106,0
2020-03-08,WA,53,141,19
2020-03-08,WI,55,1,0
2020-03-09,CA,6,172,2
2020-03-09,IL,17,11,0
2020-03-09,MA,25,41,0
2020-03-09,NY,36,142,0
2020-03-09,WA,53,179,22
2020-03-09,WI,55,2,0
2020-03-10,CA,6,179,3
2020-03-10,IL,17,19,0
2020-03-10,MA,25,92,0
2020-03-10,NY,36,173,0
2020-03-10,WA,53,279,24
2020-03-10,WI,55,3,0
2020-03-11,CA,6,202,4
2020-03-11,IL,17,25,0
2020-03-11,MA,25,95,0
2020-03-11,NY,36,217,0
2020-03-11,WA,53,338,29
2020-03-11,WI,55,6,0
2020-03-12,CA,6,252,4
2020-03-12,IL,17,32,0
2020-03-12,MA,25,108,0
2020-03-12,NY,36,326,0
2020-03-12,WA,53,419,32
2020-03-12,WI,55,8,0
2020-03-13,CA,6,320,5
2020-03-13,IL,17,46,0
2020-03-13,MA,25,123,0
2020-03-13,NY,36,421,0
2020-03-13,WA,53,511,37
2020-03-13,WI,55,19,0
2020-03-14,CA,6,381,5
2020-03-14,IL,17,66,0
2020-03-14,MA,25,138,0
2020-03-14,NY,36,610,2
2020-03-14,WA,53,609,40
2020-03-14,WI,55,27,0
2020-03-15,CA,6,478,6
2020-03-15,IL,17,94,0
2020-03-15,MA,25,164,0
2020-03-15,NY,36,732,6
2020-03-15,WA,53,675,42
2020-03-15,WI,55,33,0
2020-03-16,CA,6,588,11
2020-03-16,IL,17,104,0
2020-03-16,MA,25,197,0
2020-03-16,NY,36,950,10
2020-03-16,WA,53,794,48
2020-03-16,WI,55,47,0
2020-03-17,CA,6,732,14
2020-03-17,IL,17,159,1
2020-03-17,MA,25,218,0
2020-03-17,NY,36,1374,17
2020-03-17,WA,53,908,54
2020-03-17,WI,55,72,0
2020-03-18,CA,6,893,17
2020-03-18,IL,17,286,1
2020-03-18,MA,25,256,0
2020-03-18,NY,36,2382,27
2020-03-18,WA,53,1026,68
2020-03-18,WI,55,106,0
2020-03-19,CA,6,1067,19
2020-03-19,IL,17,420,4
2020-03-19,MA,25,328,0
2020-03-19,NY,36,4152,30
2020-03-19,WA,53,1228,75
2020-03-19,WI,55,155,2
2020-03-20,CA,6,1283,24
2020-03-20,IL,17,583,5
2020-03-20,MA,25,413,1
2020-03-20,NY,36,7102,57
2020-03-20,WA,53,1404,83
2020-03-20,WI,55,216,3
2020-03-21,CA,6,1544,28
2020-03-21,IL,17,751,6
2020-03-21,MA,25,525,2
2020-03-21,NY,36,10356,80
2020-03-21,WA,53,1655,95
2020-03-21,WI,55,281,4
2020-03-22,CA,6,1851,35
2020-03-22,IL,17,1047,9
2020-03-22,MA,25,646,5
2020-03-22,NY,36,15168,122
2020-03-22,WA,53,1844,97
2020-03-22,WI,55,382,4
2020-03-23,CA,6,2240,39
2020-03-23,IL,17,1285,12
2020-03-23,MA,25,777,5
2020-03-23,NY,36,20875,159
2020-03-23,WA,53,2101,110
2020-03-23,WI,55,418,5
2020-03-24,CA,6,2644,52
2020-03-24,IL,17,1535,16
2020-03-24,MA,25,1159,11
2020-03-24,NY,36,25665,218
2020-03-24,WA,53,2469,123
2020-03-24,WI,55,481,5
2020-03-25,CA,6,3183,67
2020-03-25,IL,17,1875,21
2020-03-25,MA,25,1838,15
2020-03-25,NY,36,33066,325
2020-03-25,WA,53,2585,130
2020-03-25,WI,55,623,7
2020-03-26,CA,6,4060,82
2020-03-26,IL,17,2538,26
2020-03-26,MA,25,2417,25
2020-03-26,NY,36,38987,432
2020-03-26,WA,53,3208,151
2020-03-26,WI,55,754,10
2020-03-27,CA,6,4914,102
2020-03-27,IL,17,3029,37
2020-03-27,MA,25,3240,35
2020-03-27,NY,36,44635,535
2020-03-27,WA,53,3770,177
2020-03-27,WI,55,930,16
